Key,ETag,Article Citation,AccessionID,Last Updated UTC (YYYY-MM-DD HH:MM:SS),PMID,License,Retracted
oa_comm/xml/all/PMC1043859.xml,7d3997b1efba19fa1cf315a04d0a13cc,PLoS Biol. 2005 Apr 22; 3(4):e60,PMC1043859,2022-01-13 07:57:10,15736975,CC BY,no
oa_comm/xml/all/PMC1043860.xml,9481a66e3e064df00517f7746f67f659,PLoS Biol. 2005 Mar 15; 3(3):e85,PMC1043860,2022-01-13 07:57:09,15723116,CC BY,no
oa_comm/xml/all/PMC1043861.xml,ac1a3bbea908fbcc907b8bf597edd8c6,PLoS Biol. 2005 Mar 15; 3(3):e114,PMC1043861,2022-01-13 07:57:10,0,CC BY,no
oa_comm/xml/all/PMC1043862.xml,7930639326162ccda408a2c8a87b59d1,PLoS Biol. 2005 Apr 22; 3(4):e122,PMC1043862,2022-01-13 07:57:09,15736988,CC BY,no
oa_comm/xml/all/PMC1044830.xml,c61036a8190d86086d509cfc45875516,PLoS Biol. 2005 Mar 22; 3(3):e63,PMC1044830,2022-01-13 07:57:11,15736976,CC BY,no
oa_comm/xml/all/PMC1044831.xml,8295bca96daa8ec5e7e2a34f5723d0c7,PLoS Biol. 2005 Mar 22; 3(3):e64,PMC1044831,2022-01-13 07:57:13,15736977,CC BY,no
oa_comm/xml/all/PMC1044832.xml,8fd36d4006069b0850f1ea72af75a356,PLoS Biol. 2005 Mar 22; 3(3):e71,PMC1044832,2022-01-13 08:01:36,15736978,CC BY,no
oa_comm/xml/all/PMC1044833.xml,413765a72238678e587f7afc4d0d01c1,PLoS Biol. 2005 Mar 22; 3(3):e77,PMC1044833,2022-01-13 07:57:10,15736979,CC BY,no
oa_comm/xml/all/PMC1044834.xml,df93acfb604a683bfdf7c49e0c04e14c,PLoS Biol. 2005 Mar 22; 3(3):e78,PMC1044834,2022-01-13 08:01:35,15736980,CC BY,no
oa_comm/xml/all/PMC1044835.xml,f359b6635d11d0fa380c392a3467ed85,PLoS Biol. 2005 Mar 22; 3(3):e79,PMC1044835,2022-01-13 08:01:36,15736981,CC BY,no
